Year,Country,Region,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
2010,Japan,Eastern Asia,35,2010,7,19,2010,7,25,170
2010,Russian Federation (the),Eastern Europe,40,2010,6,,2010,8,,55736
2011,United States of America (the),Northern America,50,2011,7,19,2011,7,22,22
2013,Bolivia (Plurinational State of),South America,,2013,8,,2013,8,,18
2013,China,Eastern Asia,,2013,7,1,2013,8,15,40
2013,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,40,2013,7,,2013,7,,760
2014,Australia,Australia and New Zealand,52,2014,1,13,2014,1,18,139
2011,Japan,Eastern Asia,35,2011,7,,2011,8,,36
2013,India,Southern Asia,46,2013,4,1,2013,5,30,557
2013,Japan,Eastern Asia,41,2013,5,,2013,9,,338
2012,United States of America (the),Northern America,40,2012,6,30,2012,7,19,123
2015,Belgium,Western Europe,,2015,6,30,2015,7,5,410
2015,Egypt,Northern Africa,47,2015,8,9,2015,8,9,110
2015,France,Western Europe,40,2015,6,29,2015,8,9,3275
2014,Pakistan,Southern Asia,,2014,1,,2014,4,30,139
2014,Japan,Eastern Asia,39,2014,7,14,2014,7,29,27
2015,India,Southern Asia,48,2015,5,20,2015,5,31,2248
2015,Japan,Eastern Asia,,2015,8,3,2015,8,9,32
2015,Japan,Eastern Asia,,2015,5,11,2015,5,,2
2015,Japan,Eastern Asia,,2015,7,12,2015,7,15,5
2015,Pakistan,Southern Asia,45,2015,6,18,2015,6,24,1229
2015,Sudan (the),Northern Africa,47,2015,8,13,2015,8,15,16
2016,India,Southern Asia,51,2016,4,1,2016,5,20,300
2016,South Africa,Southern Africa,45,2016,1,1,2016,1,10,11
2018,Australia,Australia and New Zealand,49,2018,12,,2019,1,,
2018,Belgium,Western Europe,,2018,7,,2018,7,,
2018,Canada,Northern America,37,2018,6,29,2018,7,5,70
2018,Germany,Western Europe,38,2018,7,,2018,7,,
2018,Spain,Southern Europe,47,2018,8,,2018,8,,9
2018,France,Western Europe,38,2018,7,,2018,7,,
2018,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,33,2018,6,30,2018,7,10,
2019,Belgium,Western Europe,35,2019,6,21,2020,7,1,128
2019,Germany,Western Europe,39,2019,6,24,2019,6,30,4
2019,Spain,Southern Europe,,2019,6,26,2019,6,30,2
2019,France,Western Europe,46,2019,6,24,2019,7,7,567
2019,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,,2019,6,26,2019,6,30,5
2016,Japan,Eastern Asia,,2016,8,6,2016,8,8,3
2017,India,Southern Asia,48,2017,4,12,2017,6,15,264
2018,Korea (the Democratic People's Republic of),Eastern Asia,38,2018,7,11,2018,8,3,
2018,Italy,Southern Europe,40,2018,8,,2018,8,,
2018,Japan,Eastern Asia,41,2018,7,1,2018,7,15,119
2018,Korea (the Republic of),Eastern Asia,,2018,7,,2018,7,,
2018,Netherlands (the),Western Europe,,2018,7,,2018,7,,
2018,Pakistan,Southern Asia,42,2018,5,18,2018,5,22,180
2018,Portugal,Southern Europe,45,2018,8,,2018,8,,
2019,India,Southern Asia,42,2019,6,,2019,6,,90
2019,India,Southern Asia,,2019,6,,2019,6,,22
2019,Italy,Southern Europe,,2019,6,26,2019,6,30,3
2019,Austria,Western Europe,,2019,7,24,2019,7,26,1
2019,Belgium,Western Europe,41,2019,7,19,2019,7,27,400
2019,Belgium,Western Europe,35,2019,8,23,2019,8,29,188
2019,Germany,Western Europe,42,2019,7,24,2019,7,25,
2020,Belgium,Western Europe,,2020,8,5,2020,8,8,1687
2021,Canada,Northern America,50,2021,6,26,2021,7,,815
2019,France,Western Europe,44,2019,7,21,2019,7,27,868
2019,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,39,2019,7,21,2019,8,28,161
2019,Japan,Eastern Asia,30,2019,7,29,2019,8,8,162
2019,Japan,Eastern Asia,,2019,7,22,2019,7,30,11
2019,Netherlands (the),Western Europe,40,2019,7,22,2019,7,27,400
2020,France,Western Europe,,2020,7,30,2020,8,16,1924
2020,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,,2020,6,,2020,8,,2556
2020,Netherlands (the),Western Europe,,2020,8,5,2020,8,16,400
2021,United States of America (the),Northern America,47,2021,6,26,2021,6,30,229
2022,Albania,Southern Europe,,2022,5,30,2022,9,4,
2022,Austria,Western Europe,36,2022,5,30,2022,9,4,
2022,Belgium,Western Europe,40,2022,5,30,2022,9,4,
2022,Bulgaria,Eastern Europe,,2022,5,30,2022,9,4,
2022,Switzerland,Western Europe,38,2022,5,30,2022,9,4,
2022,Cyprus,Western Asia,,2022,5,30,2022,9,30,
2022,Czech Republic (the),Eastern Europe,,2022,5,30,2022,9,4,
2022,Germany,Western Europe,40,2022,5,30,2022,9,4,8173
2022,Denmark,Northern Europe,36,2022,5,30,2022,9,4,
2022,Spain,Southern Europe,43,2022,5,30,2022,9,4,11324
2022,Estonia,Northern Europe,,2022,5,30,2022,9,4,
2022,Finland,Northern Europe,33,2022,5,30,2022,9,4,
2022,France,Western Europe,42,2022,5,30,2022,9,4,4807
2022,United Kingdom of Great Britain and Northern Ireland (the),Northern Europe,40,2022,5,30,2022,9,4,3469
2022,Greece,Southern Europe,42,2022,5,30,2022,9,4,
2022,Croatia,Southern Europe,40,2022,5,30,2022,9,4,
2022,Hungary,Eastern Europe,42,2022,5,30,2022,9,4,
2022,India,Southern Asia,45,2022,3,,2022,4,,25
2022,Ireland,Northern Europe,33,2022,5,30,2022,9,4,
2022,Italy,Southern Europe,41,2022,5,30,2022,9,4,
2022,Japan,Eastern Asia,37,2022,6,20,2022,7,1,80
2022,Kyrgyzstan,Central Asia,41,2022,7,18,2022,7,25,
2022,Korea (the Republic of),Eastern Asia,,2022,7,1,2022,7,2,2
2022,Netherlands (the),Western Europe,40,2022,5,30,2022,9,4,
2022,Norway,Northern Europe,34,2022,5,30,2022,9,30,
2022,Pakistan,Southern Asia,50,2022,3,,2022,4,,
2022,Poland,Eastern Europe,38,2022,5,30,2022,9,4,
2022,Portugal,Southern Europe,47,2022,5,30,2022,9,4,2212
2022,Romania,Eastern Europe,39,2022,5,30,2022,9,4,
2022,Slovakia,Eastern Europe,37,2022,5,30,2022,9,4,
2022,Slovenia,Southern Europe,41,2022,5,30,2022,9,4,
2022,Sweden,Northern Europe,37,2022,5,30,2022,9,30,
2022,Serbia,Southern Europe,40,2022,5,30,2022,9,4,
2023,United States of America (the),Northern America,57,2023,6,,2023,7,,14
2023,India,Southern Asia,38,2023,4,,2023,4,,11
2023,India,Southern Asia,45,2023,6,15,2023,6,23,98
